,model,hyp_mq_1_Sleeplatency,train_score_mq_1_Sleeplatency,test_score_mq_1_Sleeplatency,hyp_mq_2_times_awake,train_score_mq_2_times_awake,test_score_mq_2_times_awake,hyp_mq_3_time_lay_awake,train_score_mq_3_time_lay_awake,test_score_mq_3_time_lay_awake
0,LinearRegression,[OrderedDict({'model__fit_intercept': True})],-9.538428998650142,-51.222222644915675,[OrderedDict({'model__fit_intercept': True})],-1.6213453902201238,-13.2324596021432,[OrderedDict({'model__fit_intercept': True})],-18.743722344299577,-123.31374365299277
1,Ridge,[OrderedDict({'model__alpha': 2.1151684396146086e-15})],-9.538428998650122,-51.22021897844113,[OrderedDict({'model__alpha': 2.1151684396146086e-15})],-1.6213453902201258,-13.225651609942492,[OrderedDict({'model__alpha': 6.007274600371155e-13})],-18.743722344299584,-123.32362728952815
2,Lasso,[OrderedDict({'model__alpha': 1.3612772657396544e-13})],-9.681689779439212,-19.459981710061523,[OrderedDict({'model__alpha': 3.12915185244766e-09})],-1.6439066150882051,-4.640784053451885,[OrderedDict({'model__alpha': 3.12915185244766e-09})],-19.0394864362907,-37.06617571497783
3,ElasticNet,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",-9.681689779438383,-19.45998171005669,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",-1.6439065968915691,-4.640784781113776,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",-19.039486415194368,-37.066176006833714
4,DecisionTreeRegressor,[OrderedDict({'model__max_depth': 6})],-4.5764556016445725,-18.087740522910032,[OrderedDict({'model__max_depth': 11})],0.0,-2.7755350719679104,[OrderedDict({'model__max_depth': 6})],-6.229889382083122,-43.07188502538338
5,RandomForestRegressor,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",-5.63150795221349,-11.936226742458345,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",-0.9192073524590951,-2.2062268085973757,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",-11.385721338121687,-28.17198941799229
6,AdaBoostRegressor,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",-6.026139186034014,-11.790684676078497,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",-1.0995152375980166,-2.0539336472135714,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",-9.254109593016393,-29.625387107088244
7,SVR,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",-17.624208480016655,-16.73579207081297,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",-2.246510594945752,-2.1143718556406816,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",-33.04765203072228,-30.813178155129567
8,LinearSVR,[OrderedDict({'model__C': 1.0801564116460842})],-11.759697058774169,-15.604131175572835,[OrderedDict({'model__C': 1.0801564116460842})],-1.9594122544889678,-3.25098431419001,[OrderedDict({'model__C': 13.300153699806186})],-23.514923604444085,-26.047232165541594
