,model,fold,test_score,train_score,y_name
64,LogisticRegression__penalty=l2,4,0.18964803312629402,1.0,mq_5_superficial_sleep
65,LogisticRegression__penalty=elasticnet,0,0.2569444444444444,1.0,mq_5_superficial_sleep
66,LogisticRegression__penalty=elasticnet,1,0.21908526256352345,1.0,mq_5_superficial_sleep
67,LogisticRegression__penalty=elasticnet,2,0.29967858228727795,1.0,mq_5_superficial_sleep
68,LogisticRegression__penalty=elasticnet,3,0.22200263504611328,1.0,mq_5_superficial_sleep
69,LogisticRegression__penalty=elasticnet,4,0.18385093167701863,1.0,mq_5_superficial_sleep
70,KNeighborsClassifier,0,0.032407407407407406,0.37719061919741786,mq_5_superficial_sleep
71,KNeighborsClassifier,1,0.42651977178831396,0.3202906477821868,mq_5_superficial_sleep
72,KNeighborsClassifier,2,0.3573122529644269,0.31391395883192325,mq_5_superficial_sleep
73,KNeighborsClassifier,3,0.24223602484472048,0.3668710306231528,mq_5_superficial_sleep
74,KNeighborsClassifier,4,0.16933638443935925,0.3229500051560405,mq_5_superficial_sleep
75,DecisionTreeClassifier,0,0.24545454545454545,0.9461717921527041,mq_5_superficial_sleep
76,DecisionTreeClassifier,1,0.5316205533596837,0.9363592054350314,mq_5_superficial_sleep
77,DecisionTreeClassifier,2,0.33034953111679455,0.9565819485174325,mq_5_superficial_sleep
78,DecisionTreeClassifier,3,0.1797101449275362,0.9359056270727428,mq_5_superficial_sleep
79,DecisionTreeClassifier,4,0.138846660585791,0.9565314297762114,mq_5_superficial_sleep
80,RandomForestClassifier,0,0.29362745098039217,1.0,mq_5_superficial_sleep
81,RandomForestClassifier,1,0.28026755852842805,1.0,mq_5_superficial_sleep
82,RandomForestClassifier,2,0.4492753623188405,1.0,mq_5_superficial_sleep
83,RandomForestClassifier,3,0.3054677206851119,1.0,mq_5_superficial_sleep
84,RandomForestClassifier,4,0.2876811594202898,1.0,mq_5_superficial_sleep
85,AdaBoostClassifier,0,0.18979978354978355,0.6891820191599116,mq_5_superficial_sleep
86,AdaBoostClassifier,1,0.45600414078674945,0.8673714647149182,mq_5_superficial_sleep
87,AdaBoostClassifier,2,0.33862876254180596,0.9144153620249329,mq_5_superficial_sleep
88,AdaBoostClassifier,3,0.3848595848595849,0.8775705264184527,mq_5_superficial_sleep
89,AdaBoostClassifier,4,0.3060200668896321,0.8712653670113428,mq_5_superficial_sleep
90,SVC,0,0.17577030812324926,1.0,mq_5_superficial_sleep
91,SVC,1,0.26552795031055904,1.0,mq_5_superficial_sleep
92,SVC,2,0.22774327122153207,1.0,mq_5_superficial_sleep
93,SVC,3,0.27157190635451506,1.0,mq_5_superficial_sleep
94,SVC,4,0.13664596273291926,1.0,mq_5_superficial_sleep
95,LinearSVC,0,0.18541666666666665,1.0,mq_5_superficial_sleep
96,LinearSVC,1,0.17786561264822137,1.0,mq_5_superficial_sleep
97,LinearSVC,2,0.331764853503984,1.0,mq_5_superficial_sleep
98,LinearSVC,3,0.11814272683837901,1.0,mq_5_superficial_sleep
99,LinearSVC,4,0.283580187928014,1.0,mq_5_superficial_sleep
100,LogisticRegression__penalty=None,0,0.1534090909090909,1.0,mq_6_recovery
101,LogisticRegression__penalty=None,1,0.24782608695652175,1.0,mq_6_recovery
102,LogisticRegression__penalty=None,2,0.17346711259754738,1.0,mq_6_recovery
103,LogisticRegression__penalty=None,3,0.3653930610452349,1.0,mq_6_recovery
104,LogisticRegression__penalty=None,4,0.20790513833992097,1.0,mq_6_recovery
105,LogisticRegression__penalty=l1,0,0.2990509490509491,1.0,mq_6_recovery
106,LogisticRegression__penalty=l1,1,0.20490523968784835,1.0,mq_6_recovery
107,LogisticRegression__penalty=l1,2,0.25418060200668896,1.0,mq_6_recovery
108,LogisticRegression__penalty=l1,3,0.20831342570473008,1.0,mq_6_recovery
109,LogisticRegression__penalty=l1,4,0.2496633800981627,1.0,mq_6_recovery
110,LogisticRegression__penalty=l2,0,0.1486111111111111,1.0,mq_6_recovery
111,LogisticRegression__penalty=l2,1,0.17494824016563146,1.0,mq_6_recovery
112,LogisticRegression__penalty=l2,2,0.2078674948240166,1.0,mq_6_recovery
113,LogisticRegression__penalty=l2,3,0.29123533471359553,1.0,mq_6_recovery
114,LogisticRegression__penalty=l2,4,0.2611832611832612,1.0,mq_6_recovery
115,LogisticRegression__penalty=elasticnet,0,0.2349206349206349,0.9891388056453098,mq_6_recovery
116,LogisticRegression__penalty=elasticnet,1,0.25513616817964646,1.0,mq_6_recovery
117,LogisticRegression__penalty=elasticnet,2,0.24943751900273636,1.0,mq_6_recovery
118,LogisticRegression__penalty=elasticnet,3,0.23887030843552584,1.0,mq_6_recovery
119,LogisticRegression__penalty=elasticnet,4,0.16442687747035573,0.9892639504170047,mq_6_recovery
120,KNeighborsClassifier,0,0.1840277777777778,0.3168207424526939,mq_6_recovery
121,KNeighborsClassifier,1,0.36284584980237156,0.3680199867156823,mq_6_recovery
122,KNeighborsClassifier,2,0.22645896303185303,0.4092369986727933,mq_6_recovery
123,KNeighborsClassifier,3,0.21005081874647089,0.37818865913389554,mq_6_recovery
124,KNeighborsClassifier,4,0.35287214692249014,0.36321969858737513,mq_6_recovery
125,DecisionTreeClassifier,0,0.2992424242424242,1.0,mq_6_recovery
126,DecisionTreeClassifier,1,0.22625418060200667,1.0,mq_6_recovery
127,DecisionTreeClassifier,2,0.2989648033126294,1.0,mq_6_recovery
128,DecisionTreeClassifier,3,0.26086956521739135,1.0,mq_6_recovery
129,DecisionTreeClassifier,4,0.2589236850106415,1.0,mq_6_recovery
130,RandomForestClassifier,0,0.26144688644688646,1.0,mq_6_recovery
131,RandomForestClassifier,1,0.3800118040527247,1.0,mq_6_recovery
132,RandomForestClassifier,2,0.22300811316829625,1.0,mq_6_recovery
133,RandomForestClassifier,3,0.11594202898550723,1.0,mq_6_recovery
134,RandomForestClassifier,4,0.34455327281414233,1.0,mq_6_recovery
135,AdaBoostClassifier,0,0.3025103980986334,0.695528312174514,mq_6_recovery
136,AdaBoostClassifier,1,0.2657004830917874,0.6923389303811996,mq_6_recovery
137,AdaBoostClassifier,2,0.26666666666666666,0.6927849408304817,mq_6_recovery
138,AdaBoostClassifier,3,0.14086169584890812,0.761415236069614,mq_6_recovery
139,AdaBoostClassifier,4,0.26514150810826004,0.587465048080202,mq_6_recovery
140,SVC,0,0.35512820512820503,1.0,mq_6_recovery
141,SVC,1,0.2608695652173913,1.0,mq_6_recovery
142,SVC,2,0.2586120401337793,1.0,mq_6_recovery
143,SVC,3,0.22909698996655514,1.0,mq_6_recovery
144,SVC,4,0.28485427615862396,1.0,mq_6_recovery
145,LinearSVC,0,0.28087121212121213,1.0,mq_6_recovery
146,LinearSVC,1,0.21739130434782608,1.0,mq_6_recovery
147,LinearSVC,2,0.21159420289855072,1.0,mq_6_recovery
148,LinearSVC,3,0.3376623376623376,1.0,mq_6_recovery
149,LinearSVC,4,0.2367892976588629,1.0,mq_6_recovery
150,LogisticRegression__penalty=None,0,0.24542124542124544,1.0,mq_7_bad_mood
151,LogisticRegression__penalty=None,1,0.3833333333333333,1.0,mq_7_bad_mood
152,LogisticRegression__penalty=None,2,0.1927536231884058,1.0,mq_7_bad_mood
153,LogisticRegression__penalty=None,3,0.06956521739130435,1.0,mq_7_bad_mood
154,LogisticRegression__penalty=None,4,0.17505720823798626,1.0,mq_7_bad_mood
155,LogisticRegression__penalty=l1,0,0.2628787878787879,1.0,mq_7_bad_mood
156,LogisticRegression__penalty=l1,1,0.3893719806763285,1.0,mq_7_bad_mood
157,LogisticRegression__penalty=l1,2,0.178743961352657,1.0,mq_7_bad_mood
