,model,hyp_mq_1_Sleeplatency,train_score_mq_1_Sleeplatency,test_score_mq_1_Sleeplatency,hyp_mq_2_times_awake,train_score_mq_2_times_awake,test_score_mq_2_times_awake,hyp_mq_3_time_lay_awake,train_score_mq_3_time_lay_awake,test_score_mq_3_time_lay_awake
0,LinearRegression,[OrderedDict({'model__fit_intercept': True})],3.844478956773677e-14,16.65242228163643,[OrderedDict({'model__fit_intercept': True})],5.734149201089092e-15,2.5099611125722596,[OrderedDict({'model__fit_intercept': True})],8.542476937653073e-14,37.368501542301324
1,Ridge,[OrderedDict({'model__alpha': 6.007274600371155e-13})],5.52812351521574e-14,16.649909233372654,[OrderedDict({'model__alpha': 6.007274600371155e-13})],6.871835625615962e-15,2.5092346102982264,[OrderedDict({'model__alpha': 6.007274600371155e-13})],1.1333480036343548e-13,37.36034370310519
2,Lasso,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.001692595333209844,18.771696835328147,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.0002262709141119772,3.139446993912501,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.002319081875931697,38.66949948914704
3,ElasticNet,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.0016925906389521198,18.771696951472,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.00022626918501718,3.139447065481054,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.0023190831128907345,38.66949962522288
4,DecisionTreeRegressor,[OrderedDict({'model__max_depth': 6})],3.968775153615643,14.863011467094424,[OrderedDict({'model__max_depth': 6})],0.6133240395944461,2.3923193739029793,[OrderedDict({'model__max_depth': 6})],5.532363948695063,38.77079701738397
5,RandomForestRegressor,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",5.383952202516322,13.630977797583615,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",0.8484274286426652,1.9441625030625178,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",10.652137752637906,25.42481999648536
6,AdaBoostRegressor,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",5.8007667039187485,13.609026855305672,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",1.0519843036495269,1.999475477614038,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",9.12562232636843,26.810404603785287
7,SVR,"[OrderedDict({'model__C': 0.00021151684396146067, 'model__coef0': 1.0, 'model__degree': 5, 'model__gamma': 59.93419931791572, 'model__kernel': 'poly'})]",0.09966401478158994,16.31971325082564,"[OrderedDict({'model__C': 0.00021151684396146067, 'model__coef0': 1.0, 'model__degree': 5, 'model__gamma': 59.93419931791572, 'model__kernel': 'poly'})]",0.09876159802082478,2.040560755357796,"[OrderedDict({'model__C': 0.00021151684396146067, 'model__coef0': 1.0, 'model__degree': 5, 'model__gamma': 59.93419931791572, 'model__kernel': 'poly'})]",0.09994768835249354,29.15541080474501
8,LinearSVR,[OrderedDict({'model__C': 13.300153699806186})],0.0029413042458798365,17.06469154520489,[OrderedDict({'model__C': 13.300153699806186})],0.0003496625879935723,2.6578976457109893,[OrderedDict({'model__C': 1.0801564116460842})],0.5446960658747876,38.01562836505021
