,model,fold,test_score,train_score,y_name
0,LinearRegression,0,65.74981650219834,6.1668320597772235,mq_1_Sleeplatency
1,LinearRegression,1,147.5066004055979,10.678023633156092,mq_1_Sleeplatency
2,LinearRegression,2,15.242526440966525,10.323107743960044,mq_1_Sleeplatency
3,LinearRegression,3,15.130512124893261,10.184535267077791,mq_1_Sleeplatency
4,LinearRegression,4,12.481657750922327,10.339646289279555,mq_1_Sleeplatency
5,Ridge,0,65.749338047539,6.166832059777221,mq_1_Sleeplatency
6,Ridge,1,147.50420672823998,10.678023633155997,mq_1_Sleeplatency
7,Ridge,2,15.242526440965904,10.323107743960044,mq_1_Sleeplatency
8,Ridge,3,15.1305121248933,10.184535267077788,mq_1_Sleeplatency
9,Ridge,4,12.474511550567433,10.339646289279557,mq_1_Sleeplatency
10,Lasso,0,45.39891891805395,6.237243308000599,mq_1_Sleeplatency
11,Lasso,1,11.477727193504132,10.82130215852712,mq_1_Sleeplatency
12,Lasso,2,12.6361673146074,10.638860959012526,mq_1_Sleeplatency
13,Lasso,3,15.267247537834054,10.26681184209332,mq_1_Sleeplatency
14,Lasso,4,12.519847586308092,10.4442306295625,mq_1_Sleeplatency
15,ElasticNet,0,45.39891891802388,6.237243307999315,mq_1_Sleeplatency
16,ElasticNet,1,11.477727193506974,10.821302158526912,mq_1_Sleeplatency
17,ElasticNet,2,12.636167314611715,10.638860959011254,mq_1_Sleeplatency
18,ElasticNet,3,15.26724753783261,10.266811842092643,mq_1_Sleeplatency
19,ElasticNet,4,12.519847586308268,10.444230629561794,mq_1_Sleeplatency
20,DecisionTreeRegressor,0,24.12011446645724,4.029014528955457,mq_1_Sleeplatency
21,DecisionTreeRegressor,1,23.244257234715985,4.9149131011691765,mq_1_Sleeplatency
22,DecisionTreeRegressor,2,17.48390583305955,4.6297554251818624,mq_1_Sleeplatency
23,DecisionTreeRegressor,3,14.048397611334938,3.6324045733763697,mq_1_Sleeplatency
24,DecisionTreeRegressor,4,11.54202746898244,5.676190379539995,mq_1_Sleeplatency
25,RandomForestRegressor,0,19.998561110064422,4.462389897838929,mq_1_Sleeplatency
26,RandomForestRegressor,1,9.284895217753508,5.796936283183165,mq_1_Sleeplatency
27,RandomForestRegressor,2,10.467764811422516,5.8479011690380505,mq_1_Sleeplatency
28,RandomForestRegressor,3,9.687227880625596,5.77631625769619,mq_1_Sleeplatency
29,RandomForestRegressor,4,10.242684692425685,6.273996153311117,mq_1_Sleeplatency
30,AdaBoostRegressor,0,18.873129052937067,5.045535305010289,mq_1_Sleeplatency
31,AdaBoostRegressor,1,8.468803927285062,6.21321570844019,mq_1_Sleeplatency
32,AdaBoostRegressor,2,10.73872496613,6.393777823423836,mq_1_Sleeplatency
33,AdaBoostRegressor,3,9.559007498742957,6.129189127051659,mq_1_Sleeplatency
34,AdaBoostRegressor,4,11.313757935297398,6.348977966244097,mq_1_Sleeplatency
35,SVR,0,25.069625581130754,15.6832741276454,mq_1_Sleeplatency
36,SVR,1,11.797547040658557,19.482568222910096,mq_1_Sleeplatency
37,SVR,2,21.081422879289654,16.343708268611575,mq_1_Sleeplatency
38,SVR,3,9.981613638277219,18.716388053576868,mq_1_Sleeplatency
39,SVR,4,15.748751214708662,17.895103727339336,mq_1_Sleeplatency
40,LinearSVR,0,34.118584753219615,8.151643793350996,mq_1_Sleeplatency
41,LinearSVR,1,10.870600004758897,12.56997196101754,mq_1_Sleeplatency
42,LinearSVR,2,10.269314847027541,12.931972626458839,mq_1_Sleeplatency
43,LinearSVR,3,11.108871526837929,12.633936146912315,mq_1_Sleeplatency
44,LinearSVR,4,11.653284746020185,12.510960766131147,mq_1_Sleeplatency
45,LinearRegression,0,28.59265989234055,1.3527653597627398,mq_2_times_awake
46,LinearRegression,1,30.661805894044168,1.509257556782573,mq_2_times_awake
47,LinearRegression,2,1.792316229466889,1.811994124711773,mq_2_times_awake
48,LinearRegression,3,2.3706009255311953,1.7422779292009967,mq_2_times_awake
49,LinearRegression,4,2.74491506933321,1.6904319806425354,mq_2_times_awake
50,Ridge,0,28.592658257456975,1.3527653597627387,mq_2_times_awake
51,Ridge,1,30.66120733267647,1.5092575567825843,mq_2_times_awake
52,Ridge,2,1.7923162294668715,1.8119941247117732,mq_2_times_awake
53,Ridge,3,2.3706009255312015,1.7422779292009964,mq_2_times_awake
54,Ridge,4,2.71147530458094,1.6904319806425354,mq_2_times_awake
55,Lasso,0,13.302881515139973,1.3882815306149134,mq_2_times_awake
56,Lasso,1,3.0523284737784158,1.552520541239282,mq_2_times_awake
57,Lasso,2,1.753627332314929,1.826432409806006,mq_2_times_awake
58,Lasso,3,2.3927858440643957,1.7514408406588837,mq_2_times_awake
59,Lasso,4,2.702297101961712,1.7008577531219407,mq_2_times_awake
60,ElasticNet,0,13.302885218140952,1.388281504524493,mq_2_times_awake
61,ElasticNet,1,3.052328434574313,1.5525205254254544,mq_2_times_awake
62,ElasticNet,2,1.753627279850137,1.8264323966269083,mq_2_times_awake
63,ElasticNet,3,2.392785813015997,1.7514408212348866,mq_2_times_awake
64,ElasticNet,4,2.7022971599874848,1.7008577366461035,mq_2_times_awake
65,DecisionTreeRegressor,0,3.4399612400917157,0.0,mq_2_times_awake
66,DecisionTreeRegressor,1,3.747462909872433,0.0,mq_2_times_awake
67,DecisionTreeRegressor,2,1.4890907643081486,0.0,mq_2_times_awake
68,DecisionTreeRegressor,3,2.1366369348357592,0.0,mq_2_times_awake
69,DecisionTreeRegressor,4,3.064523510731495,0.0,mq_2_times_awake
