,model,hyp_mq_1_Sleeplatency,train_score_mq_1_Sleeplatency,test_score_mq_1_Sleeplatency,hyp_mq_2_times_awake,train_score_mq_2_times_awake,test_score_mq_2_times_awake,hyp_mq_3_time_lay_awake,train_score_mq_3_time_lay_awake,test_score_mq_3_time_lay_awake
0,LinearRegression,[OrderedDict({'model__fit_intercept': True})],5.339683965574842e-14,20.435954194278036,[OrderedDict({'model__fit_intercept': True})],5.578382627414569e-15,2.642818885578565,[OrderedDict({'model__fit_intercept': True})],9.933558875282879e-14,31.81046209982363
1,Ridge,[OrderedDict({'model__alpha': 6.007274600371155e-13})],6.735887181903772e-14,20.441526139585697,[OrderedDict({'model__alpha': 6.007274600371155e-13})],8.000692373197715e-15,2.6418839544057575,[OrderedDict({'model__alpha': 6.007274600371155e-13})],1.1186498299699533e-13,31.808449503396183
2,Lasso,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.00260676431779575,19.76975457735879,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.0003110018061567362,2.534213320515171,[OrderedDict({'model__alpha': 3.12915185244766e-09})],0.003086611129541314,34.54919783158527
3,ElasticNet,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.002606765085709638,19.76975473582761,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.0003110018722287121,2.534213598654424,"[OrderedDict({'model__alpha': 2.0400539352572806e-20, 'model__l1_ratio': 0.6763966685729479})]",0.003086614071544717,34.54919814779334
4,DecisionTreeRegressor,[OrderedDict({'model__max_depth': 6})],3.9398494850943893,23.496985410210293,[OrderedDict({'model__max_depth': 11})],-0.0,2.3603083725228853,[OrderedDict({'model__max_depth': 11})],0.2908514520806815,48.193961959182914
5,RandomForestRegressor,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",6.886439885822874,16.838142055293126,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",0.7942561727819336,1.9616922503146597,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",11.008849401739749,29.47346509787271
6,AdaBoostRegressor,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",6.4373911887341375,16.60244419023985,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.7531512490328234,1.9897524985826873,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",7.867637957117938,27.960679054767503
7,SVR,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",17.973384273262738,17.090287042327994,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",2.210942123878293,2.0994688862378212,"[OrderedDict({'model__C': 0.06007274600371167, 'model__coef0': 0.5, 'model__degree': 3, 'model__gamma': 64.66799446048577, 'model__kernel': 'sigmoid'})]",33.215844002923696,30.951271871837413
8,LinearSVR,[OrderedDict({'model__C': 1.0801564116460842})],0.00270042320982624,19.235400867518297,[OrderedDict({'model__C': 13.300153699806186})],0.0003344173198762908,2.773537657317434,[OrderedDict({'model__C': 1.0801564116460842})],3.4524148194441118,31.168378367445165
